475,418,573,422,572,444,474,441
355,224,470,225,470,244,355,243
322,101,429,103,429,123,321,121
87,248,167,247,168,267,87,269
397,125,471,127,471,146,397,145
213,445,290,444,290,465,213,466
388,348,456,347,456,364,388,365
158,151,244,151,245,172,158,172
296,150,385,148,386,168,296,170
447,543,508,544,508,561,447,560
229,103,294,102,294,119,229,121
133,468,215,469,215,488,133,487
382,299,448,297,448,315,382,316
313,493,403,494,403,515,313,513
284,347,344,346,345,364,284,365
127,422,234,419,235,439,128,442
316,273,401,274,401,293,316,292
341,517,409,518,409,538,341,537
127,199,218,199,218,218,127,217
335,567,417,561,419,588,338,595
441,445,495,446,494,465,440,464
351,422,404,421,404,438,351,439
102,567,178,560,180,588,105,594
385,53,463,54,463,71,385,71
205,496,253,496,253,512,205,512
180,275,277,273,277,293,180,295
403,77,454,78,454,96,403,95
267,297,320,296,320,316,268,317
87,518,141,518,141,537,87,536
242,420,303,422,303,441,242,440
213,349,271,347,271,364,213,366
131,447,188,446,188,464,131,465
308,199,399,200,398,218,308,217
502,299,557,299,557,317,501,317
127,101,182,102,182,120,126,120
390,470,454,471,454,489,390,489
86,75,164,76,164,97,86,96
271,568,341,567,342,585,271,587
121,177,171,177,171,194,121,194
199,543,271,542,272,560,199,561
326,545,383,544,383,560,327,561
412,150,460,151,460,168,411,167
198,566,282,560,284,589,200,595
440,102,507,103,507,120,440,119
409,420,464,420,464,439,409,439
468,152,520,153,520,169,468,168
415,520,469,519,469,536,415,537
87,322,143,322,143,341,87,341
177,55,223,54,223,70,178,71
384,322,442,322,442,341,384,341
249,225,313,226,312,244,249,243
402,249,461,248,461,267,402,267
341,371,380,372,379,391,340,390
134,495,199,494,199,512,134,514
86,346,134,346,134,366,86,365
136,127,182,126,183,144,136,145
418,397,481,398,480,414,418,413
177,518,245,518,244,537,176,536
86,493,130,494,130,514,86,512
478,200,543,200,543,217,478,217
517,545,562,546,562,562,517,561
182,322,226,322,227,340,182,340
421,177,455,176,455,193,421,193
250,152,286,151,286,167,250,168
183,128,233,127,233,145,184,145
137,349,178,347,179,365,138,367
120,273,170,273,170,291,120,292
134,371,196,372,196,391,134,390
343,53,374,54,374,70,342,69
298,446,342,445,342,464,299,464
409,493,464,495,464,513,409,511
327,128,365,129,365,144,327,144
242,127,308,126,308,146,243,147
205,225,242,226,242,242,204,242
375,397,410,397,410,413,375,413
388,543,441,544,441,562,388,561
204,77,263,77,263,96,204,96
85,542,129,542,129,561,85,560
235,321,310,322,309,343,234,341
402,200,474,199,474,217,402,218
229,396,272,395,273,412,229,413
447,323,484,322,484,340,447,340
353,248,396,249,395,267,352,266
87,297,121,296,121,315,87,316
344,322,376,322,376,339,344,340
178,175,217,175,217,193,178,193
235,201,270,200,270,217,235,217
210,369,280,371,279,391,210,389
86,150,122,149,122,168,86,169
267,176,316,176,316,195,267,194
151,546,195,545,195,560,151,561
454,299,496,300,496,316,454,315
90,223,132,224,131,243,89,242
311,471,348,470,348,487,311,487
87,370,129,371,129,390,87,389
87,395,119,395,119,413,87,414
85,175,114,174,114,194,85,194
87,199,123,197,123,218,88,219
169,396,220,396,220,413,169,414
87,469,123,468,123,487,87,488
492,273,523,273,523,290,493,291
424,273,483,272,484,291,425,292
506,395,554,396,553,414,506,414
131,224,173,223,174,242,131,243
329,78,374,77,375,95,329,96
292,78,319,78,320,94,293,95
88,420,123,419,123,438,88,439
157,566,213,562,214,589,159,592
386,178,414,178,415,193,386,194
316,396,370,395,370,414,316,415
278,396,308,396,309,412,278,413
188,297,240,297,240,316,188,316
248,468,300,468,300,488,248,487
528,274,563,274,563,291,528,291
328,296,375,296,375,315,328,316
268,53,335,54,335,70,268,69
145,296,183,297,182,315,145,314
309,518,337,519,336,536,309,535
388,371,419,372,418,390,387,389
117,54,143,54,142,69,116,68
127,150,162,151,161,170,127,169
347,178,378,178,378,194,347,194
146,324,173,323,174,340,147,341
87,273,114,273,114,291,87,291
86,444,123,444,123,463,87,464
88,101,123,101,123,119,88,120
232,248,290,247,290,267,232,267
196,249,222,249,222,266,196,265
313,421,344,421,344,438,313,438
236,297,267,296,268,316,237,318
123,396,163,395,163,413,123,414
351,446,382,446,382,462,351,463
284,373,314,372,314,389,285,390
235,53,262,54,262,68,235,68
187,103,226,103,226,119,186,119
385,444,430,445,429,463,384,462
253,519,303,518,303,537,253,539
146,518,172,518,172,535,146,535
174,77,197,77,197,95,174,95
276,199,306,198,307,216,276,217
281,543,322,544,322,561,281,560
350,347,382,348,381,364,349,364
82,566,120,566,120,586,82,585
180,350,205,350,206,364,180,365
311,323,338,322,338,340,312,341
349,470,381,470,381,487,349,487
282,273,306,274,306,293,282,292
300,249,328,249,329,266,301,267
111,127,138,126,139,145,112,145
86,52,113,52,114,70,86,70
84,125,115,124,115,145,85,145
147,55,174,55,174,70,147,71
375,77,397,78,397,94,374,94
118,299,144,298,145,316,119,316
217,175,245,175,245,194,217,194
410,563,452,560,454,588,412,591
306,373,333,373,333,388,306,389
280,494,315,494,315,511,280,511
221,471,247,470,247,487,222,488
181,225,202,225,203,241,181,241
323,175,344,175,344,193,323,193
263,79,287,78,287,96,264,96
367,129,393,128,394,144,368,145
174,250,196,249,197,266,175,267
296,104,329,102,330,119,297,120
255,495,280,495,280,510,256,511
187,447,216,446,216,463,188,463
306,226,333,226,333,243,306,243
